Date,Open,High,Low,Close,Adj Close,Volume
12/27/2007,144.872726,145.639252,140.158615,141.183838,126.147102,5734292
12/28/2007,140.273605,141.749161,131.841858,139.765778,124.880081,3951660
12/31/2007,142.573166,142.764801,140.465225,142.170746,127.028908,4297507
1/1/2008,142.189911,146.884857,141.23175,146.089584,130.53035,6914777
1/2/2008,146.95192,152.729584,144.297836,152.068466,135.872467,10611582
1/3/2008,153.304474,156.370575,149.481445,151.694778,135.538589,10581493
1/4/2008,153.304474,157.922775,147.77594,149.788055,133.83493,9271718
1/7/2008,150.046753,154.799194,146.214142,150.506668,134.477005,7606509
1/8/2008,151.388168,153.208664,146.674057,148.494553,132.679184,7345470
1/9/2008,146.980667,150.813278,144.489471,147.593887,131.874466,6054977
1/10/2008,150.046753,153.687744,142.592331,143.569641,128.278793,17651909
1/11/2008,149.46228,149.46228,141.068863,146.233307,130.658783,6703412
1/14/2008,146.578247,149.376053,145.428467,146.712387,131.086838,5100792
1/15/2008,149.031113,151.388168,145.380554,147.363937,131.668976,6430700
1/16/2008,143.722946,144.681107,139.94783,143.713364,128.407227,6286793
1/17/2008,143.722946,144.681107,139.957413,141.164673,126.129959,4588343
1/18/2008,141.164673,141.365891,135.348694,136.881744,122.303192,4087243
1/21/2008,136.824249,137.207504,122.097435,125.259338,111.918633,6548014
1/22/2008,121.685432,132.225113,101.660034,124.732353,111.447777,7404746
1/23/2008,130.308807,136.057724,122.45195,126.255821,112.808983,5487354
1/24/2008,128.967392,132.876663,123.601738,126.198334,112.757614,6015239
1/25/2008,127.836769,137.590775,127.817612,136.143951,121.643982,6360221
1/28/2008,135.099579,141.749161,128.392502,136.584702,122.037796,3236148
1/29/2008,137.993195,141.32756,134.333054,137.169189,122.560028,2645856
1/30/2008,138.72139,138.72139,131.5065,133.556946,119.332504,3410791
1/31/2008,135.866089,137.97403,131.573563,134.036026,119.760551,7490729
2/1/2008,135.674469,145.639252,135.291199,144.393661,129.01506,7390604
2/4/2008,146.597412,150.966583,144.489471,147.555557,131.84021,6396019
2/5/2008,147.555557,148.322083,142.764801,144.489471,129.100647,4576450
2/6/2008,140.647278,142.381531,134.639664,141.030533,126.010117,3378881
2/7/2008,141.806641,143.512161,133.767746,137.035034,122.440155,2758557
2/8/2008,137.399139,139.890335,133.576111,136.239777,121.729607,1502333
2/11/2008,135.540329,138.702225,131.266953,134.304306,120.000275,2940537
2/12/2008,134.304306,136.134384,131.966415,132.972473,118.810287,2793739
2/13/2008,134.141418,137.954865,134.141418,136.977554,122.388794,2951960
2/14/2008,138.75972,142.534836,138.271057,140.493973,125.530708,2920008
